Nama Kos,Lokasi,Fasilitas,Ratings,Harga per Bulan
Kost Wisma Kencana Hidayah,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",4.1,600000
Kost Omah Tipe 1,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,950000
Kost Graha Kamila Tipe Standar,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,1000000
Kost Semanggi,Lowokwaru,Kasur,,500000
Kost CM6,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,950000
Kost Cozy Dozy 1 Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",4.9,500000
Kost Putra Cantewa Tipe B,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,850000
Kost Bangkit Boarding House Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,650000
Kost Bantaran IIID,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",5.0,550000
Kost Basecamp,Blimbing,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",4.1,680000
Kost Apollo,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,1000000
Kost Griya Agfifa Sadah,Lowokwaru,"WiFi, Kloset Duduk, Kasur",,600000
Kost Syariah Bening Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",3.9,950000
Kost Senggani 39,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",4.1,700000
Kost Celaket,Klojen,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,1000000
Kost Cozy Dozy 2 Tipe B,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",4.6,650000
Kost Pak Hery,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",5.0,575000
Kost Kertopamuji Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",5.0,650000
Kost Marhaban Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,800000
Kost Suseno Andrianto Tipe A,Lowokwaru,"Kasur, Akses 24 Jam",,600000
Kost Srigading Indah Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",5.0,750000
Kost Ssdt Jatimulyo,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,1000000
Kost Bugenvilas Kamar Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,875000
Kost Hutama Jaya I Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,650000
Kost Candi Agung Tipe Executive,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",3.9,650000
Kost Ibu Riana,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur",,800000
Kost Hutamajaya VIP,Lowokwaru,"WiFi, AC, Kasur, Akses 24 Jam",5.0,1000000
Kost Holandia VIP,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,770000
Kost Syariah Bening 2 Tipe A,Lowokwaru,"Kloset Duduk, Kasur, Akses 24 Jam",,850000
Kost Jejaka Griya Shanta Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,650000
Kost Prima I,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,750000
Kost 354 Ekonomis,Klojen,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,850000
Kost Borobudur Agung Timur Suhat Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,850000
Kost Setaman 6 Tipe B,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,600000
Kost Rumah Arutala,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,550000
Kost Sancaka Merjosari Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,800000
Kost Mertojoyo Bar,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,600000
Kost Sancaka Tipe D,Lowokwaru,"WiFi, Kloset Duduk, Kasur",,675000
Kost Yasalam,Lowokwaru,"WiFi, Akses 24 Jam",,580000
Kost Taman Borobudur 2 Tipe B,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,900000
Kost MT. Haryono,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur",,750000
Kost Griya Patria Tipe A,Blimbing,"WiFi, Kasur, Akses 24 Jam",,600000
Kost GSA36,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,750000
Kost Candi Telaga Wangi,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",5.0,800000
Kost MT Haryono 22,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",4.6,600000
Kost Cengger Ayam Cozy vvip,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,750000
Kost Bondowoso,Klojen,"WiFi, Kasur, Akses 24 Jam",,500000
Kost Kalingkang 17 Tipe A,Sukun,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",5.0,750000
Kost Murah Agus Tipe A,Lowokwaru,"Kasur, Akses 24 Jam",,700000
Kost Selorejo 69 Tipe B,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",5.0,700000
